"benefits","associations","names","genders"
"tasty","European","translated","female"
"healthy","European","translated","female"
"healthy","Dutch","translated","female"
"both","Dutch","translated","female"
"tasty","no association","translated","female"
"both","no association","translated","female"
"both","European","original","female"
"tasty","Dutch","original","female"
"healthy","no association","original","female"
